City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Pacifica,US,37.6138,-122.4869,68.58,86,1,4.0,clear sky
109,Constitucion,CL,-35.3333,-72.4167,54.18,79,10,12.15,clear sky
110,Nikolskoye,RU,59.7035,30.7861,53.02,88,100,11.61,overcast clouds
111,Shestakovo,RU,56.4915,103.96,30.38,49,6,6.17,clear sky
112,Upata,VE,8.0086,-62.3989,71.31,95,100,2.39,overcast clouds
113,Monteiro,BR,-7.8894,-37.12,68.29,77,60,8.43,broken clouds
114,Hovd,MN,48.0056,91.6419,41.59,39,4,1.83,clear sky
115,Saint-Francois,FR,46.4154,3.9054,52.68,73,0,5.75,clear sky
116,Atambua,ID,-9.1061,124.8925,88.41,54,100,5.97,overcast clouds
117,Fortuna,US,40.5982,-124.1573,59.18,73,40,3.44,scattered clouds
118,Kota Kinabalu,MY,5.9749,116.0724,87.78,74,20,3.44,few clouds
119,Ati,TD,13.2154,18.3353,80.96,18,93,7.02,overcast clouds
120,Mahibadhoo,MV,3.7833,72.9667,82.36,75,73,9.46,broken clouds
121,Yima,CN,34.7381,111.8839,62.89,58,100,7.74,overcast clouds
122,Byron Bay,AU,-28.65,153.6167,80.55,71,100,8.57,light rain
123,Manokwari,ID,-0.8667,134.0833,84.83,65,95,6.91,overcast clouds
124,Tautira,PF,-17.7333,-149.15,71.62,96,100,15.17,very heavy rain
125,Ilulissat,GL,69.2167,-51.1,26.62,80,75,16.11,light snow
126,Cockburn Town,TC,21.4612,-71.1419,82.18,73,2,7.52,clear sky
127,Aklavik,CA,68.2191,-135.0107,25.63,95,98,4.14,overcast clouds
128,Torbay,CA,47.6666,-52.7314,39.58,94,90,17.27,light intensity drizzle
129,Sakakah,SA,29.9697,40.2064,63.97,32,40,3.24,scattered clouds
130,Clyde River,CA,70.4692,-68.5914,28.94,95,98,8.28,overcast clouds
131,Kudahuvadhoo,MV,2.6708,72.8944,82.45,74,51,8.93,broken clouds
132,Grindavik,IS,63.8424,-22.4338,43.27,81,75,19.57,broken clouds
133,Saint-Philippe,RE,-21.3585,55.7679,72.95,86,48,7.81,moderate rain
134,Oktyabrskoye,RU,43.0645,44.7417,28.54,93,0,6.71,clear sky
135,Rawson,AR,-43.3002,-65.1023,62.67,59,26,16.69,scattered clouds
136,Pisco,PE,-13.7,-76.2167,61.02,88,0,13.8,clear sky
137,Hasaki,JP,35.7333,140.8333,68.29,51,100,24.61,overcast clouds
138,Whitehorse,CA,60.7161,-135.0538,30.97,59,75,10.36,broken clouds
139,Carnarvon,AU,-24.8667,113.6333,71.67,46,0,23.02,clear sky
140,Neiafu,TO,-18.65,-173.9833,81.28,74,20,8.05,few clouds
141,San Diego,US,32.7153,-117.1573,78.21,51,1,4.61,clear sky
142,Mount Gambier,AU,-37.8333,140.7667,58.91,51,40,18.41,scattered clouds
143,Avarua,CK,-21.2078,-159.775,73.45,68,75,10.36,broken clouds
144,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,40,13.8,scattered clouds
145,Vao,NC,-22.6667,167.4833,71.73,71,45,14.05,scattered clouds
146,Severo-Kurilsk,RU,50.6789,156.125,43.57,97,100,5.5,light rain
147,Butaritari,KI,3.0707,172.7902,82.71,69,1,13.91,clear sky
148,Chuy,UY,-33.6971,-53.4616,63.21,93,0,8.72,moderate rain
149,Ulladulla,AU,-35.35,150.4667,83.88,34,0,14.74,clear sky
150,Narsaq,GL,60.9167,-46.05,28.62,74,100,2.84,overcast clouds
151,Bengkulu,ID,-3.8004,102.2655,85.28,66,73,6.78,broken clouds
152,Barrow,US,71.2906,-156.7887,12.22,92,90,11.5,overcast clouds
153,Hvolsvollur,IS,63.7533,-20.2243,42.82,79,100,10.76,overcast clouds
154,Jamestown,US,42.097,-79.2353,56.52,78,75,8.99,broken clouds
155,Keflavik,IS,64.0049,-22.5624,43.52,81,75,19.57,broken clouds
156,Murray Bridge,AU,-35.1167,139.2667,65.48,41,65,16.82,broken clouds
157,Kulgam,IN,33.65,75.0167,52.02,50,0,2.82,clear sky
158,Pangody,RU,65.85,74.4859,27.46,97,100,11.36,light snow
159,Nouadhibou,MR,20.931,-17.0347,67.98,73,32,13.8,scattered clouds
160,Ginir,ET,7.1333,40.7,56.43,54,0,5.57,clear sky
161,Atuona,PF,-9.8,-139.0333,78.28,68,6,16.31,clear sky
162,Pevek,RU,69.7008,170.3133,1.35,93,100,4.03,overcast clouds
163,Aars,DK,56.804,9.5144,48.24,92,12,9.26,few clouds
164,Erzin,TR,36.9559,36.2,52.32,65,75,4.05,broken clouds
