City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Sabang,ID,83.16,overcast clouds,5.8933,95.3214,Hotel Citra
560,Bandarbeyla,SO,77.34,clear sky,9.4942,50.8122,JABIR HOTEL
562,Derac,HT,78.84,clear sky,19.65,-71.8167,Le Marien Hotels & Resorts
568,Veraval,IN,82.44,broken clouds,20.9,70.3667,Lords Inn Somnath
571,Sur,OM,80.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
572,Basco,PH,79.27,broken clouds,20.4487,121.9702,Nathaniel's Lodge
574,Parit Buntar,MY,88.95,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
589,Jahangirpur,IN,77.59,clear sky,28.1833,77.7167,Fozi Hotel
594,Redlands,US,77.34,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
598,Japura,ID,87.73,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
600,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
602,Tam Ky,VN,82.38,overcast clouds,15.5667,108.4833,Khách Sạn Đông Á
603,Road Town,VG,80.2,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
604,Mitsamiouli,KM,75.49,few clouds,-11.3847,43.2844,Foyer ADM
609,Pailon,BO,76.1,overcast clouds,-17.65,-62.75,Alojamiento pailon
612,Aneho,TG,77.2,scattered clouds,6.2333,1.6,Hotel La Linette
613,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
621,Narasannapeta,IN,81.64,overcast clouds,18.4167,84.05,G.lingaraju home
627,Jieshi,CN,79.95,broken clouds,22.8134,115.8257,Yuehai Hotel
629,Marsh Harbour,BS,81.48,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
631,Roebourne,AU,89.44,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
633,Port Macquarie,AU,83.89,moderate rain,-31.4333,152.9167,Rydges Port Macquarie
641,Kampot,KH,87.85,broken clouds,10.6167,104.1833,Two Moons Hotel
643,Thinadhoo,MV,83.53,scattered clouds,0.5333,72.9333,
645,Kampong Thum,KH,85.59,overcast clouds,12.7111,104.8887,Sambor Village Hotel
649,Agutaya,PH,83.12,scattered clouds,11.148,120.9417,
652,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
659,Boueni,YT,78.78,light rain,-12.9025,45.0761,The feet in water
661,Taree,AU,87.06,overcast clouds,-31.9,152.4667,All Seasons Country Lodge Taree
663,Kihei,US,80.62,scattered clouds,20.785,-156.4656,Maui Sunset
664,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
666,Manga,BF,76.69,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
