City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Yellowknife,CA,2021-10-26 01:41:50,62.456,-114.3525,42.42,90,90,1.01
101,Ziro,IN,2021-10-26 01:41:50,27.6333,93.8333,54.23,84,12,1.97
102,Narsaq,GL,2021-10-26 01:41:51,60.9167,-46.05,39.42,49,9,4.47
103,Mahebourg,MU,2021-10-26 01:41:51,-20.4081,57.7,73.69,83,40,13.8
104,Alyangula,AU,2021-10-26 01:41:51,-13.8483,136.4192,93.07,46,40,4.61
105,Hasaki,JP,2021-10-26 01:41:52,35.7333,140.8333,61.29,82,100,33.49
106,Kavieng,PG,2021-10-26 01:41:52,-2.5744,150.7967,83.68,70,41,5.95
107,Ponta Do Sol,PT,2021-10-26 01:41:53,32.6667,-17.1,69.01,66,2,6.33
108,Bambous Virieux,MU,2021-10-26 01:41:54,-20.3428,57.7575,73.65,83,40,13.8
109,Port Augusta,AU,2021-10-26 01:41:55,-32.5,137.7667,83.71,10,12,17.47
110,Ostrovnoy,RU,2021-10-26 01:41:55,68.0531,39.5131,22.55,85,64,5.61
111,Katsuura,JP,2021-10-26 01:41:56,35.1333,140.3,62.71,88,100,24.32
112,Nuevo Progreso,MX,2021-10-26 01:41:56,23.1667,-97.95,83.59,79,100,4.41
113,Aripuana,BR,2021-10-26 01:41:56,-9.1667,-60.6333,72.7,99,100,1.34
114,Codrington,AU,2021-10-26 01:41:57,-38.2667,141.9667,62.98,47,97,6.22
115,Ordzhonikidze,KZ,2021-10-26 01:41:57,52.4411,61.7408,36.1,89,100,16.84
116,Cape Town,ZA,2021-10-26 01:37:21,-33.9258,18.4232,63.88,63,0,1.99
117,Longyan,CN,2021-10-26 01:41:58,25.1072,117.0225,70.52,74,99,2.26
118,Nanortalik,GL,2021-10-26 01:38:23,60.1432,-45.2371,34.79,61,81,13.02
119,Grindavik,IS,2021-10-26 01:41:58,63.8424,-22.4338,37.87,93,75,5.75
120,Port Elizabeth,ZA,2021-10-26 01:41:59,-33.918,25.5701,62.89,88,0,10.36
121,Araouane,ML,2021-10-26 01:41:59,18.9048,-3.5265,83.59,21,15,9.75
122,Cedar City,US,2021-10-26 01:42:00,37.6775,-113.0619,56.39,48,90,25.32
123,Cherskiy,RU,2021-10-26 01:42:00,68.75,161.3,-5.94,92,100,1.77
124,Mastung,PK,2021-10-26 01:42:01,29.7994,66.845,54.0,38,71,4.99
125,Kabare,CD,2021-10-26 01:42:01,-2.4683,28.8242,60.58,86,53,1.21
126,Naberera,TZ,2021-10-26 01:42:02,-4.2,36.9333,60.15,89,100,5.41
127,Ewa Beach,US,2021-10-26 01:42:03,21.3156,-158.0072,87.75,53,20,11.5
128,Los Llanos De Aridane,ES,2021-10-26 01:42:04,28.6585,-17.9182,65.95,82,0,4.0
129,Malkangiri,IN,2021-10-26 01:42:04,18.35,81.9,69.91,76,1,2.84
130,Pisco,PE,2021-10-26 01:42:05,-13.7,-76.2167,61.02,82,0,13.8
131,Gbarnga,LR,2021-10-26 01:42:06,6.9956,-9.4722,71.19,100,100,0.76
132,Doha,QA,2021-10-26 01:42:07,25.2867,51.5333,78.78,53,0,5.75
133,San Nicolas,PH,2021-10-26 01:42:07,18.1725,120.5953,85.91,66,75,3.44
134,Hvide Sande,DK,2021-10-26 01:42:08,56.0045,8.1294,52.09,80,100,12.95
135,Harrisburg,US,2021-10-26 01:37:29,40.2737,-76.8844,64.09,92,90,3.0
